,ts,value
661,2022-05-28 16:00:00,52
662,2022-05-28 17:00:00,52
663,2022-05-28 18:00:00,52
664,2022-05-28 19:00:00,52
665,2022-05-28 20:00:00,52
666,2022-05-28 21:00:00,51
667,2022-05-28 22:00:00,51
668,2022-05-28 23:00:00,51
669,2022-05-29 00:00:00,50
670,2022-05-29 01:00:00,50
671,2022-05-29 02:00:00,50
672,2022-05-29 03:00:00,50
673,2022-05-29 04:00:00,50
674,2022-05-29 05:00:00,50
675,2022-05-29 06:00:00,50
676,2022-05-29 07:00:00,50
677,2022-05-29 08:00:00,51
678,2022-05-29 09:00:00,51
679,2022-05-29 10:00:00,51
680,2022-05-29 11:00:00,51
681,2022-05-29 12:00:00,51
682,2022-05-29 13:00:00,51
683,2022-05-29 14:00:00,51
684,2022-05-29 15:00:00,52
685,2022-05-29 16:00:00,52
686,2022-05-29 17:00:00,52
687,2022-05-29 18:00:00,52
688,2022-05-29 19:00:00,51
689,2022-05-29 20:00:00,51
690,2022-05-29 21:00:00,51
691,2022-05-29 22:00:00,51
692,2022-05-29 23:00:00,50
693,2022-05-30 00:00:00,50
694,2022-05-30 01:00:00,49
695,2022-05-30 02:00:00,49
696,2022-05-30 03:00:00,49
697,2022-05-30 04:00:00,51
698,2022-05-30 05:00:00,50
699,2022-05-30 06:00:00,49
700,2022-05-30 07:00:00,51
701,2022-05-30 08:00:00,53
702,2022-05-30 09:00:00,54
703,2022-05-30 10:00:00,54
704,2022-05-30 11:00:00,54
705,2022-05-30 12:00:00,54
706,2022-05-30 13:00:00,54
707,2022-05-30 14:00:00,54
708,2022-05-30 15:00:00,54
709,2022-05-30 16:00:00,57
710,2022-05-30 17:00:00,54
711,2022-05-30 18:00:00,54
712,2022-05-30 19:00:00,54
713,2022-05-30 20:00:00,54
714,2022-05-30 21:00:00,53
715,2022-05-30 22:00:00,53
716,2022-05-30 23:00:00,53
717,2022-05-31 00:00:00,53
718,2022-05-31 01:00:00,52
719,2022-05-31 02:00:00,52
720,2022-05-31 03:00:00,52
721,2022-05-31 04:00:00,52
722,2022-05-31 05:00:00,53
723,2022-05-31 06:00:00,53
724,2022-05-31 07:00:00,53
725,2022-05-31 08:00:00,54
726,2022-05-31 09:00:00,54
727,2022-05-31 10:00:00,55
728,2022-05-31 11:00:00,55
729,2022-05-31 12:00:00,56
730,2022-05-31 13:00:00,56
731,2022-05-31 14:00:00,56
732,2022-05-31 15:00:00,56
733,2022-05-31 16:00:00,56
734,2022-05-31 17:00:00,56
